Atom number: 0 
number of functions: 12
0 0.06836028 2542.9401785 255.21852830250864
0 0.20489191 1029.5472946 129.53729340379954
0 0.36859207 424.9053546 66.70052392457843
0 1.25726207 178.4573708 34.79853493309847
0 2.05996332 76.1362742 18.369773755849923
0 2.88331098 32.9338653 9.798105715194534
0 1.18757001 14.4155436 5.272703619894508
0 0.10286123 6.3718891 -2.858322635668605
0 -0.0207373 2.8381742 1.5584374576977444
0 0.74954293 1.2711793 0.8532282009690848
0 0.31864503 0.5712407 0.4683003142669729
0 0.07462986 0.2569887 0.2572442125464426
